Data File	C:\Users\GPC\Documents\OmniSEC Data\Salty\2023 01 Jan\2023-02-16_15;04;39_230216_SS_P-SS065_01.vdt
Sample ID	230216 SS P-SS065
Method File Name	202301JanCalibration-0011.vcm
Date Acquired	Feb 16, 2023 - 15:04:39
Solvent	THF
Operator	admin : Administrator
Column Set	GMHxl
System	Salty
Flow Rate (ml/min)	 1.000
Inj. Vol. (ul)	100.000
Vol. Inc. (ml)	0.00333
Det. Temp (Deg C)	 0.000
Col. Temp (Deg C)	35.000

Parameter	Input	Calculated
Sample Conc. (mg/ml)	 0.800	0.0
Sample Recovery()	0.0	 0.000
Sample dn/dc (ml/g)	 0.000	 0.000
Sample dA/dc (ml/g)	 0.000	 0.000
Initial IP	29.140

Ret. Vol.	 17.12
Mn - (Daltons)	 18325
Mw - (Daltons)	 28032
Mz - (Daltons)	 39177
Mp - (Daltons)	 27717
IV - (dl/g)	0.0000
Radius - (nm)	  0.00
RI Area - (mvml)	279.15
UV Area - (mvml)	  0.00
RALS Area - (mvml)	  0.00
LALS Area - (mvml)	  0.00
DP Area - (mvml)	  0.00
Wt Fr. (A)	 0.000
Wt Fr. (Peak)	 1.000
M-H a	 0.000
M-H logK	 0.000
Bn - (per molecule)	 0.000

Ret. Vol.	RI	UV	IV - DP	IV -  IP	Adjusted RI	Adjusted UV	Adjusted IV - DP	Adjusted IV -  IP	Molecular Weight	Cumulative Weight Fraction	Normalized Wt Fr	Normalized Mole Fraction	Conc.	WF/dLogM
1.08000	15.656	-0.862	294.870	28.84670										
1.08333	15.641	-0.845	294.870	28.84426										
1.08667	15.595	-0.828	294.885	28.84304										
1.09000	15.625	-0.812	294.870	28.84243										
1.09333	15.641	-0.795	294.855	28.84121										
1.09667	15.580	-0.780	294.855	28.83999										
1.10000	15.595	-0.789	294.870	28.83938										
1.10333	15.625	-0.797	294.870	28.83999										
1.10667	15.610	-0.806	294.855	28.84060										
1.11000	15.595	-0.814	294.855	28.84060										
1.11333	15.595	-0.821	294.870	28.83999										
1.11667	15.580	-0.812	294.885	28.84060										
1.12000	15.549	-0.804	294.870	28.84243										
1.12333	15.549	-0.795	294.839	28.84304										
1.12667	15.564	-0.787	294.824	28.84243										
1.13000	15.564	-0.780	294.824	28.84182										
1.13333	15.549	-0.789	294.824	28.84243										
1.13667	15.580	-0.797	294.809	28.84243										
1.14000	15.580	-0.806	294.809	28.84182										
1.14333	15.534	-0.814	294.809	28.84060										
1.14667	15.580	-0.819	294.824	28.84060										
1.15000	15.564	-0.802	294.824	28.84060										
1.15333	15.534	-0.785	294.824	28.84060										
1.15667	15.595	-0.768	294.839	28.83877										
1.16000	15.580	-0.751	294.870	28.83816										
1.16333	15.564	-0.737	294.900	28.83816										
1.16667	15.625	-0.737	294.900	28.83877										
1.17000	15.610	-0.737	294.900	28.83816										
1.17333	15.564	-0.737	294.900	28.83755										
1.17667	15.610	-0.737	294.916	28.83755										
1.18000	15.580	-0.745	294.916	28.83877										
1.18333	15.549	-0.787	294.885	28.83938										
1.18667	15.610	-0.829	294.885	28.83877										
1.19000	15.580	-0.872	294.900	28.83877										
1.19333	15.564	-0.914	294.916	28.83877										
1.19667	15.580	-0.943	294.900	28.83877										
1.20000	15.610	-0.917	294.916	28.83755										
1.20333	15.549	-0.892	294.931	28.83633										
1.20667	15.564	-0.867	294.961	28.83633										
1.21000	15.595	-0.841	294.961	28.83694										
1.21333	15.580	-0.821	294.946	28.83755										
1.21667	15.564	-0.821	294.946	28.83694										
1.22000	15.580	-0.821	294.946	28.83694										
1.22333	15.625	-0.821	294.946	28.83694										
1.22667	15.595	-0.821	294.931	28.83816										
1.23000	15.610	-0.818	294.931	28.83816										
1.23333	15.625	-0.801	294.931	28.83816										
1.23667	15.625	-0.784	294.946	28.83816										
1.24000	15.595	-0.767	294.931	28.83999										
1.24333	15.595	-0.750	294.916	28.84060										
1.24667	15.641	-0.754	294.900	28.84060										
1.25000	15.610	-0.821	294.900	28.84060										
1.25333	15.625	-0.889	294.916	28.84182										
1.25667	15.641	-0.957	294.916	28.84304										
1.26000	15.671	-1.024	294.900	28.84365										
1.26333	15.595	-1.056	294.900	28.84365										
1.26667	15.610	-0.989	294.916	28.84365										
1.27000	15.625	-0.921	294.900	28.84426										
1.27333	15.625	-0.854	294.870	28.84426										
1.27667	15.610	-0.786	294.855	28.84304										
1.28000	15.656	-0.751	294.870	28.84182										
1.28333	15.671	-0.802	294.870	28.84304										
1.28667	15.625	-0.853	294.855	28.84426										
1.29000	15.641	-0.903	294.855	28.84426										
1.29333	15.671	-0.954	294.870	28.84487										
1.29667	15.687	-0.992	294.870	28.84670										
1.30000	15.671	-1.001	294.870	28.84854										
1.30333	15.717	-1.009	294.855	28.85037										
1.30667	15.748	-1.018	294.839	28.85098										
1.31000	15.748	-1.026	294.839	28.85098										
1.31333	15.732	-1.034	294.839	28.85159										
1.31667	15.778	-1.043	294.824	28.85159										
1.32000	15.778	-1.051	294.809	28.85037										
1.32333	15.717	-1.060	294.824	28.84915										
1.32667	15.717	-1.068	294.855	28.84854										
1.33000	15.702	-1.077	294.885	28.84854										
1.33333	15.687	-1.085	294.885	28.84854										
1.33667	15.702	-1.094	294.900	28.84793										
1.34000	15.702	-1.102	294.916	28.84670										
1.34333	15.671	-1.110	294.916	28.84670										
1.34667	15.732	-1.125	294.900	28.84670										
1.35000	15.687	-1.150	294.900	28.84609										
1.35333	15.656	-1.175	294.916	28.84426										
1.35667	15.687	-1.201	294.946	28.84304										
1.36000	15.671	-1.226	294.961	28.84304										
1.36333	15.641	-1.245	294.946	28.84304										
1.36667	15.671	-1.254	294.946	28.84243										
1.37000	15.671	-1.262	294.961	28.84243										
1.37333	15.671	-1.271	294.961	28.84426										
1.37667	15.671	-1.279	294.961	28.84548										
1.38000	15.717	-1.252	294.961	28.84609										
1.38333	15.702	-1.168	294.946	28.84670										
1.38667	15.717	-1.083	294.931	28.84854										
1.39000	15.732	-0.999	294.916	28.85098										
1.39333	15.748	-0.915	294.870	28.85342										
1.39667	15.717	-0.864	294.839	28.85525										
1.40000	15.748	-0.864	294.839	28.85647										
1.40333	15.778	-0.864	294.839	28.85830										
1.40667	15.732	-0.864	294.824	28.85952										
1.41000	15.778	-0.864	294.824	28.85952										
1.41333	15.778	-0.884	294.824	28.85891										
1.41667	15.793	-0.935	294.839	28.85830										
