p1 mw,p1 WF,p2 mw,p2 WF
189358.625,0.013233807405175074,632989312,0.05757372322575967
188895.7656,0.013403208103718955,630814912,0.05810618218523464
188434.25,0.013553500472982165,628641152,0.0585257694736149
187973.4375,0.013722973093239027,626463808,0.05902271833868615
187513.9688,0.013869727269118554,624285824,0.059509671883299635
187055.2031,0.014026259082655632,622107136,0.059987630139597875
186597.5625,0.014173647023575788,619926592,0.060434838093130494
186140.6406,0.014341044782818996,617744192,0.06087370443317306
185685.0313,0.014492960852681957,615560000,0.061313883446476425
185230.1406,0.014656099815102607,613374144,0.061690897984024655
184776.5469,0.014792573954928579,611185280,0.06210768715052853
184323.4844,0.014958205057383855,608994816,0.06253471684621037
183871.7188,0.015116078818071439,606802944,0.06295005895862191
183420.6563,0.01529480848921523,604608320,0.06345835905158079
182970.9063,0.01545006451026918,602413696,0.06387949438132894
182521.6563,0.015639276674038707,600216448,0.06437020284579223
182073.7031,0.015805030104403654,598019392,0.06478105925183912
181626.4531,0.01598755249527083,595819904,0.06526588770798458
181180.3125,0.016168878445984317,593620672,0.06575305774608657
180735.0625,0.016348500511983194,591421760,0.06618791443958906
180290.7031,0.016538477862890314,589220672,0.06671697919414737
179847.25,0.016744125219397648,587020032,0.06724380351534626
179404.875,0.016940465118821364,584819904,0.06778010386300923
178963.2031,0.01714746102131023,582620352,0.06827510557725613
178522.625,0.01735009903360638,580420096,0.06882558882956064
178082.9219,0.017547759309211937,578220608,0.06936549987562877
177644.1094,0.017743343947470788,576021824,0.06992906501315674
177206.1875,0.01794486808817965,573823808,0.07054365969857666
176769.1563,0.018149280964213244,571627968,0.07110278252523057
176333.1875,0.018343054361985443,569432960,0.07167637669941532
175897.9219,0.018554269357405968,567238976,0.07223520140388832
175463.7344,0.018741756231849305,565045952,0.07287738787790737
175030.2188,0.018949662717567862,562856512,0.07341000557776438
174597.9688,0.01913723387960082,560668096,0.07395143578864716
174166.4219,0.01935593189395625,558480896,0.07457789115533527
173736.1094,0.019556753619600846,556297344,0.07514018717641457
173306.4844,0.019779178309917003,554115008,0.07577888313656567
172877.9375,0.019989486049249532,551936384,0.07631117383768855
172450.25,0.020209848244428674,549759040,0.07694401398775078
172023.6094,0.02042760428951776,547585536,0.07751755040882904
171597.8594,0.020651159376224953,545414592,0.07814203474910689
171173.1406,0.020878434429157124,543247488,0.07873381179518167
170749.4844,0.02110013197265574,541083072,0.0793928253949824
170326.6875,0.02134058494660586,538922560,0.08003099722149402
169904.9375,0.021584399331810906,536764768,0.08071304479280686
169484.2344,0.02182799224028376,534610944,0.08143210242607644
169064.3906,0.022096357825869085,532462208,0.08207245709416257
168645.7656,0.022352589880214668,530316320,0.0827623989343726
168228,0.02263600573580707,528174432,0.08351244740080374
167811.4375,0.02288964655674786,526037728,0.08417778302990479
167395.5469,0.023182143512883863,523903904,0.08498176499302566
166981.0625,0.02344940676097312,521776448,0.08563743714004889
166567.4063,0.023727058343578127,519651936,0.08638870664911379
166154.7969,0.024000437876246155,517532672,0.08712826453800095
165743.1875,0.024280969931774015,515418624,0.08786565894389681
165332.7969,0.024533032523051564,513309856,0.0885370044451445
164923.2188,0.02482672264765192,511205216,0.08930782241282088
164515.0313,0.02508632936636685,509106976,0.08998467752816165
