Molecular weight (g/mol),WF / dLog MW
"210608_P-SS065, Injection 1","210608_P-SS065, Injection 1"
83093.23438,18.03490448
83076.35938,17.87843895
83059.39844,17.90060616
83042.52344,17.94216537
83025.75,17.97135735
83009.07031,17.90851021
82992.39844,17.93335342
82975.8125,17.87399673
82959.23438,17.90302467
82942.75,17.83802032
82926.26563,17.87886047
82909.88281,17.80237007
82893.49219,17.65384674
82877.02344,17.68527985
82860.64844,17.61508179
82844.27344,17.64765167
82827.99219,17.48306847
82811.625,17.5141983
82795.35156,17.34142303
82778.98438,17.29303551
82762.63281,17.21341324
82746.27344,17.15171623
82729.92188,16.99632835
82713.48438,17.022686
82697.14063,16.85941887
82680.70313,16.62096596
82664.09375,16.74518967
82647.67188,16.48417282
82631.0625,16.42833519
82614.46094,16.37328911
82597.86719,16.21646309
82581.17969,15.98825264
82564.32031,16.01013565
82547.54688,15.78992271
82530.60156,15.72588348
82513.65625,15.59379101
82496.625,15.45215988
82479.50781,15.31335545
82462.30469,15.17984295
82445.01563,15.03717899
82427.63281,14.98452187
82410.25781,14.84805775
82392.79688,14.71776867
82375.25,14.58779144
82357.61719,14.4622097
82339.89844,14.40658188
82322.17969,14.21024227
82304.28125,14.15820217
82286.39063,14.04078579
82268.41406,13.99195862
82250.44531,13.86837292
82232.38281,13.68353462
82214.14844,13.70322227
82196.00781,13.52368069
82177.6875,13.47816849
82159.375,13.35618591
82140.96875,13.25011444
82122.48438,13.2062788
82104.00781,13.09216213
82085.4375,12.9813509
82066.78125,12.93482208
82048.13281,12.820961
82029.39844,12.71147728
82010.57813,12.66068363
81991.75781,12.5559845
81972.85156,12.51007175
81953.95313,12.40980625
81934.97656,12.35744667
81915.99219,12.20075798
81896.83594,12.15994072
81877.6875,12.11584091
81858.53906,12.02395535
81839.3125,11.91726494
81819.99219,11.87956905
81800.67969,11.8423624
81781.375,11.75106335
81761.98438,11.6536417
81742.5,11.62122726
81723.03125,11.57947731
81703.5625,11.48491955
81684.00781,11.39175892
81664.36719,11.35330772
81644.73438,11.30827999
81625.10156,11.16460228
81605.29688,11.17365456
81585.59375,11.12021732
81565.88281,10.98513985
81546.00781,10.99162674
81526.22656,10.89407635
81506.35156,10.86032963
81486.49219,10.76647282
81466.53906,10.68117046
81446.50781,10.68963242
81426.57031,10.60515213
81406.54688,10.56323051
81386.52344,10.48352528
81366.42188,10.44543171
81346.32031,10.41252422
81326.22656,10.37908173
81306.14063,10.29966164
81285.96875,10.26527023
81265.79688,10.18920231
81245.54688,10.19709206
81225.39063,10.12037659
81205.14844,10.03819084
81184.82031,10.04948807
81164.59375,10.01314831
81144.36719,9.92862606
81124.05469,9.847262383
81103.65625,9.86011219
81083.35938,9.784280777
81062.97656,9.7470541
81042.59375,9.713197708
81022.21875,9.720610619
81001.9375,9.602221489
80981.48438,9.612660408
80961.13281,9.534361839
80940.6875,9.504076004
80920.25,9.473815918
80899.82031,9.440143585
80879.39063,9.40991497
80858.96875,9.379514694
80838.55469,9.346410751
80818.14063,9.278719902
80797.64844,9.283725739
80777.24219,9.215833664
80756.75781,9.222532272
80736.36719,9.146915436
80715.89063,9.158450127
80695.51563,9.07758522
80675.04688,9.046760559
80654.58594,9.016705513
80634.13281,8.987023354
80613.6875,8.994384766
80593.33594,8.92013073
80572.89063,8.892789841
80552.46094,8.900836945
80532.125,8.830430031
80511.70313,8.798095703
80491.28125,8.810642242
80470.96094,8.742243767
80450.55469,8.746364594
80430.23438,8.68827343
80409.84375,8.731156349
80389.625,8.668602943
80369.32813,8.601494789
80348.94531,8.646870613
80328.74219,8.583049774
80308.46094,8.555885315
80288.1875,8.524008751
80267.91406,8.532301903
80247.73438,8.538920403
80227.64844,8.432630539
80207.39063,8.473187447
80187.3125,8.409420967
80167.15625,8.412306786
80147.08594,8.383478165
80127.02344,8.353404999
80106.96875,8.326207161
80086.92188,8.329821587
80066.96094,8.263670921
80046.92188,8.231721878
80026.88281,8.280982971
80007.03125,8.215454102
79987.09375,8.186993599
79967.15625,8.203519821
79947.32031,8.175415039
79927.48438,8.150259018
79907.64844,8.131357193
79887.82813,8.106313705
79868.00781,8.077827454
79848.1875,8.094442368
79828.46875,8.066004753
79808.75,8.036067009
79789.03125,8.013786316
79769.32813,8.019258499
79749.71094,7.989648819
79730.09375,7.934042931
79710.40625,7.939685345
79690.80469,7.909104347
79671.20313,7.880912781
79651.60938,7.85173893
79632.02344,7.859481812
79612.53125,7.831154823
79593.03906,7.806172371
79573.55469,7.778057575
79554.07031,7.750931263
79534.59375,7.727461815
79515.125,7.738342285
79495.75,7.709656715
79476.375,7.648441315
79456.91406,7.659665585
79437.54688,7.63731432
79418.1875,7.610476971
79398.83594,7.618068695
79379.57031,7.556427956
79360.22656,7.562524796
79340.96875,7.499515057
79321.63281,7.541316509
79302.47656,7.481438637
79283.23438,7.45424366
79264,7.390859127
79244.67969,7.427776814
79225.53906,7.398288727
79206.40625,7.332509041
79187.1875,7.338841915
79168.0625,7.316513538
79148.94531,7.289049149
79129.82813,7.29664278
